userId,characterName,cardCode,cardEffort,recoveryDate
,Tohru,0s6pj8,145,
121671514410975232.00000,Sou Inuoka,ql530t,145,
,Erina Nakiri,0ftxwm,145,
452129115575943168.00000,Menacing Spoon,vtmx1k,144,
121671514410975232.00000,Yu Nishinoya,qfd5z8,144,
121671514410975232.00000,Kei Tsukishima,q3fdhk,144,
371042880078348160.00000,Zeref,qkmcqf,144,
,Jotaro Kujo,qk0qfk,144,
191412938492477440.00000,Jin Mori,qbrc4r,143,
459503897594167296.00000,Hanako,vxd0qd,143,
191412938492477440.00000,Tensa Zangetsu,qj4n06,143,
,Rimuru Tempest,q5bb6k,141,
146321803797725184.00000,Portgas D. Ace,07n18j,141,
130401447052443648.00000,Minato Aqua,07qzp1,141,
,Nagito Komaeda,09prj9,141,
,Usada Pekora,qk5sgx,140,
191412938492477440.00000,Sailor Saturn,qk600x,140,
191412938492477440.00000,Mano Aloe,0pp6x3,139,
452129115575943168.00000,Hiyori Iki,v1c611,139,
130401447052443648.00000,Tejina-sempai,qkmvqx,136,
121671514410975232.00000,Meiko Honma,qlkp01,136,
191412938492477440.00000,Sumi Sakurazawa,vs68x0,136,
464248237415727104.00000,Jin Mori,q1rlzv,135,
191412938492477440.00000,Filo,0xlthj,135,
191412938492477440.00000,Zenitsu Agatsuma,q3ql58,135,
146321803797725184.00000,Millaarc Cranstoun,hv4sr8,134,
121671514410975232.00000,Nina,hzfxkk,134,
146321803797725184.00000,Komui Lee,hw7rjc,134,
191412938492477440.00000,Firenda,hv4s49,134,
130401447052443648.00000,Mitsukuni Haninozuka,q7z2p2,134,
562285917050634240.00000,Venti,qr6jtw,134,
,Tamaki Suoh,q4gwr2,133,
121671514410975232.00000,Rio Nakamura,q9rk4w,133,
172136729950683136.00000,Inverse Origami,qnqqhs,131,
130401447052443648.00000,Satanichia Kurumizawa McDowell,qbzk18,131,
130401447052443648.00000,Rukia Kuchiki,q283v1,131,
659966929724899328.00000,Filo,06kntp,129,
,Shino Asada,q4d9dh,129,
371042880078348160.00000,Ruka Sarashina,q1j0hp,129,
130401447052443648.00000,Ai Miyashita,q0v56p,128,
,Mai Sakurajima,0c7s35,128,
191412938492477440.00000,Yuri Zahard,qf0bnj,128,
121671514410975232.00000,Tetsuya Kuroko,q78lnv,128,
130401447052443648.00000,Mia Karnstein,q3kn8n,128,
321284717427294208.00000,Albis,qs63cn,126,
130401447052443648.00000,James,qrk30c,125,
,Taek Jegal,q5wkxg,125,
119155392776372224.00000,Fat Gum,qsp3rc,124,
,Maple,q1x86n,123,
321284717427294208.00000,Naoyasu Kuguri,qrhwsj,123,
121671514410975232.00000,Michiru Kagemori,h1kg3m,121,
371042880078348160.00000,Fox,q80qjm,120,
121671514410975232.00000,Fuutarou Uesugi,qs50vr,118,
,Ren Amamiya,0ssflt,118,
121671514410975232.00000,Carol Malus Dienheim,hdt62q,118,
,Marianne von Edmund,qqn1jz,116,
119155392776372224.00000,Hayate Yagami,hq63v5,116,
,Mai Sakurajima,q2l28x,115,
